departure_city,departure_iata,departure_icao,arrival_city,arrival_iata,arrival_icao
Edinburgh,EDI,EGPH,Sicily Catania,CTA,LICC
Edinburgh,EDI,EGPH,Tenerife South,TFS,GCTS
Edinburgh,EDI,EGPH,Tromsø,TOS,ENTC
Edinburgh,EDI,EGPH,Venice Marco Polo,VCE,LIPZ
Edinburgh,EDI,EGPH,Zurich,ZRH,LSZH
Gibraltar,GIB,LXGB,Birmingham,BHX,EGBB
Gibraltar,GIB,LXGB,Bristol,BRS,EGGD
Gibraltar,GIB,LXGB,London Gatwick,LGW,EGKK
Gibraltar,GIB,LXGB,Manchester,MAN,EGCC
Glasgow,GLA,EGPF,Agadir,AGA,GMAD
Glasgow,GLA,EGPF,Alicante,ALC,LEAL
Glasgow,GLA,EGPF,Amsterdam,AMS,EHAM
Glasgow,GLA,EGPF,Antalya,AYT,LTAI
Glasgow,GLA,EGPF,Barcelona,BCN,LEBL
Glasgow,GLA,EGPF,Belfast City (George Best),BHD,EGAC
Glasgow,GLA,EGPF,Belfast Intl,BFS,EGAA
Glasgow,GLA,EGPF,Berlin Brandenburg,BER,EDDB
Glasgow,GLA,EGPF,Birmingham,BHX,EGBB
Glasgow,GLA,EGPF,Bordeaux,BOD,LFBD
Glasgow,GLA,EGPF,Bristol,BRS,EGGD
Glasgow,GLA,EGPF,Crete Chania,CHQ,LGSA
Glasgow,GLA,EGPF,Cyprus Larnaca,LCA,LCLK
Glasgow,GLA,EGPF,Dalaman,DLM,LTBS
Glasgow,GLA,EGPF,Enfidha - Hammamet,NBE,DTNH
Glasgow,GLA,EGPF,Faro,FAO,LPFR
Glasgow,GLA,EGPF,Fuerteventura,FUE,GCFV
Glasgow,GLA,EGPF,Geneva,GVA,LSGG
Glasgow,GLA,EGPF,Gran Canaria,LPA,GCLP
Glasgow,GLA,EGPF,Hurghada,HRG,HEGN
Glasgow,GLA,EGPF,Jersey,JER,EGJJ
Glasgow,GLA,EGPF,Kos,KGS,LGKO
Glasgow,GLA,EGPF,Krakow,KRK,EPKK
Glasgow,GLA,EGPF,Lanzarote,ACE,GCRR
Glasgow,GLA,EGPF,Lisbon,LIS,LPPT
Glasgow,GLA,EGPF,London Gatwick,LGW,EGKK
Glasgow,GLA,EGPF,London Luton,LTN,EGGW
Glasgow,GLA,EGPF,London Stansted,STN,EGSS
Glasgow,GLA,EGPF,Majorca Palma,PMI,LEPA
Glasgow,GLA,EGPF,Malaga,AGP,LEMG
Glasgow,GLA,EGPF,Malta,MLA,LMML
Glasgow,GLA,EGPF,Marrakech,RAK,GMMX
Glasgow,GLA,EGPF,Paris Charles de Gaulle,CDG,LFPG
Glasgow,GLA,EGPF,Pisa (Tuscany),PSA,LIRP
Glasgow,GLA,EGPF,Porto,OPO,LPPR
Glasgow,GLA,EGPF,Prague,PRG,LKPR
Glasgow,GLA,EGPF,Pula,PUY,LDPL
Glasgow,GLA,EGPF,Reus,REU,LERS
Glasgow,GLA,EGPF,Rome Fiumicino,FCO,LIRF
Glasgow,GLA,EGPF,Sharm El Sheikh,SSH,HESH
Glasgow,GLA,EGPF,Southampton,SOU,EGHI
Glasgow,GLA,EGPF,Split,SPU,LDSP
Glasgow,GLA,EGPF,Tenerife South,TFS,GCTS
Inverness,INV,EGPE,Birmingham,BHX,EGBB
Inverness,INV,EGPE,Bristol,BRS,EGGD
Inverness,INV,EGPE,London Gatwick,LGW,EGKK
Inverness,INV,EGPE,London Luton,LTN,EGGW
Isle of Man,IOM,EGNS,Bristol,BRS,EGGD
Isle of Man,IOM,EGNS,Geneva,GVA,LSGG
Isle of Man,IOM,EGNS,Liverpool,LPL,EGGP
Isle of Man,IOM,EGNS,London Gatwick,LGW,EGKK
Isle of Man,IOM,EGNS,London Luton,LTN,EGGW
Isle of Man,IOM,EGNS,Manchester,MAN,EGCC
Jersey,JER,EGJJ,Belfast Intl,BFS,EGAA
Jersey,JER,EGJJ,Birmingham,BHX,EGBB
Jersey,JER,EGJJ,Edinburgh,EDI,EGPH
Jersey,JER,EGJJ,Glasgow,GLA,EGPF
Jersey,JER,EGJJ,Liverpool,LPL,EGGP
Jersey,JER,EGJJ,London Gatwick,LGW,EGKK
Jersey,JER,EGJJ,London Luton,LTN,EGGW
Jersey,JER,EGJJ,London Southend,SEN,EGMC
Jersey,JER,EGJJ,Manchester,MAN,EGCC
Leeds Bradford,LBA,EGNM,Barcelona,BCN,LEBL
Leeds Bradford,LBA,EGNM,Belfast Intl,BFS,EGAA
Leeds Bradford,LBA,EGNM,Majorca Palma,PMI,LEPA
Leeds Bradford,LBA,EGNM,Malaga,AGP,LEMG
Leeds Bradford,LBA,EGNM,Paris Charles de Gaulle,CDG,LFPG
Liverpool,LPL,EGGP,Alicante,ALC,LEAL
Liverpool,LPL,EGGP,Almeria,LEI,LEAM
Liverpool,LPL,EGGP,Amsterdam,AMS,EHAM
Liverpool,LPL,EGGP,Antalya,AYT,LTAI
Liverpool,LPL,EGGP,Barcelona,BCN,LEBL
Liverpool,LPL,EGGP,Belfast City (George Best),BHD,EGAC
Liverpool,LPL,EGGP,Belfast Intl,BFS,EGAA
Liverpool,LPL,EGGP,Berlin Brandenburg,BER,EDDB
Liverpool,LPL,EGGP,Bodrum,BJV,LTFE
Liverpool,LPL,EGGP,Budapest,BUD,LHBP
Liverpool,LPL,EGGP,Corfu,CFU,LGKR
Liverpool,LPL,EGGP,Crete Heraklion,HER,LGIR
Liverpool,LPL,EGGP,Cyprus Larnaca,LCA,LCLK
Liverpool,LPL,EGGP,Cyprus Paphos,PFO,LCPH
Liverpool,LPL,EGGP,Dalaman,DLM,LTBS
Liverpool,LPL,EGGP,Derry - Londonderry,LDY,EGAE
Liverpool,LPL,EGGP,Enfidha - Hammamet,NBE,DTNH
Liverpool,LPL,EGGP,Faro,FAO,LPFR
Liverpool,LPL,EGGP,Fuerteventura,FUE,GCFV
Liverpool,LPL,EGGP,Geneva,GVA,LSGG
Liverpool,LPL,EGGP,Gran Canaria,LPA,GCLP
Liverpool,LPL,EGGP,Hurghada,HRG,HEGN
Liverpool,LPL,EGGP,Isle of Man,IOM,EGNS
Liverpool,LPL,EGGP,Jersey,JER,EGJJ
Liverpool,LPL,EGGP,Kittila,KTT,EFKT
Liverpool,LPL,EGGP,Kos,KGS,LGKO
Liverpool,LPL,EGGP,Krakow,KRK,EPKK
Liverpool,LPL,EGGP,Lanzarote,ACE,GCRR
Liverpool,LPL,EGGP,Lisbon,LIS,LPPT
Liverpool,LPL,EGGP,Majorca Palma,PMI,LEPA
Liverpool,LPL,EGGP,Malaga,AGP,LEMG
Liverpool,LPL,EGGP,Malta,MLA,LMML
Liverpool,LPL,EGGP,Marrakech,RAK,GMMX
Liverpool,LPL,EGGP,Milan Malpensa,MXP,LIMC
Liverpool,LPL,EGGP,Naples,NAP,LIRN
Liverpool,LPL,EGGP,Nice,NCE,LFMN
Liverpool,LPL,EGGP,Paris Charles de Gaulle,CDG,LFPG
Liverpool,LPL,EGGP,Prague,PRG,LKPR
Liverpool,LPL,EGGP,Reykjavik Keflavik,KEF,BIKF
Liverpool,LPL,EGGP,Salzburg,SZG,LOWS
Liverpool,LPL,EGGP,Seville,SVQ,LEZL
Liverpool,LPL,EGGP,Sharm El Sheikh,SSH,HESH
Liverpool,LPL,EGGP,Split,SPU,LDSP
Liverpool,LPL,EGGP,Tenerife South,TFS,GCTS
London Gatwick,LGW,EGKK,Aberdeen,ABZ,EGPD
London Gatwick,LGW,EGKK,Agadir,AGA,GMAD
London Gatwick,LGW,EGKK,Akureyri,AEY,BIAR
London Gatwick,LGW,EGKK,Alicante,ALC,LEAL
London Gatwick,LGW,EGKK,Almeria,LEI,LEAM
London Gatwick,LGW,EGKK,Amsterdam,AMS,EHAM
London Gatwick,LGW,EGKK,Antalya,AYT,LTAI
London Gatwick,LGW,EGKK,Athens,ATH,LGAV
London Gatwick,LGW,EGKK,Barcelona,BCN,LEBL
London Gatwick,LGW,EGKK,Bari,BRI,LIBD
London Gatwick,LGW,EGKK,Basel,BSL,LFSB
London Gatwick,LGW,EGKK,"Bastia, Corsica",BIA,LFKB
London Gatwick,LGW,EGKK,Belfast City (George Best),BHD,EGAC
London Gatwick,LGW,EGKK,Belfast Intl,BFS,EGAA
London Gatwick,LGW,EGKK,Berlin Brandenburg,BER,EDDB
London Gatwick,LGW,EGKK,Biarritz,BIQ,LFBZ
London Gatwick,LGW,EGKK,Bodrum,BJV,LTFE
London Gatwick,LGW,EGKK,Bordeaux,BOD,LFBD
London Gatwick,LGW,EGKK,Brest Brittany,BES,LFRB
London Gatwick,LGW,EGKK,Brindisi,BDS,LIBR
London Gatwick,LGW,EGKK,Budapest,BUD,LHBP
London Gatwick,LGW,EGKK,Burgas,BOJ,LBBG
London Gatwick,LGW,EGKK,Copenhagen,CPH,EKCH
London Gatwick,LGW,EGKK,Corfu,CFU,LGKR
London Gatwick,LGW,EGKK,Crete Chania,CHQ,LGSA
London Gatwick,LGW,EGKK,Crete Heraklion,HER,LGIR
London Gatwick,LGW,EGKK,Cyprus Larnaca,LCA,LCLK
London Gatwick,LGW,EGKK,Cyprus Paphos,PFO,LCPH
London Gatwick,LGW,EGKK,Dalaman,DLM,LTBS
London Gatwick,LGW,EGKK,Dubrovnik,DBV,LDDU
London Gatwick,LGW,EGKK,Dusseldorf,DUS,EDDL
London Gatwick,LGW,EGKK,Edinburgh,EDI,EGPH
London Gatwick,LGW,EGKK,Enfidha - Hammamet,NBE,DTNH
London Gatwick,LGW,EGKK,Faro,FAO,LPFR
London Gatwick,LGW,EGKK,"Figari, Corsica",FSC,LFKF
London Gatwick,LGW,EGKK,Friedrichshafen,FDH,EDNY
London Gatwick,LGW,EGKK,Fuerteventura,FUE,GCFV
London Gatwick,LGW,EGKK,Geneva,GVA,LSGG
London Gatwick,LGW,EGKK,Gibraltar,GIB,LXGB
London Gatwick,LGW,EGKK,Glasgow,GLA,EGPF
London Gatwick,LGW,EGKK,Gran Canaria,LPA,GCLP
London Gatwick,LGW,EGKK,Grenoble,GNB,LFLS
London Gatwick,LGW,EGKK,Hamburg,HAM,EDDH
London Gatwick,LGW,EGKK,Hurghada,HRG,HEGN
London Gatwick,LGW,EGKK,Ibiza,IBZ,LEIB
London Gatwick,LGW,EGKK,Innsbruck,INN,LOWI
London Gatwick,LGW,EGKK,Inverness,INV,EGPE
London Gatwick,LGW,EGKK,Isle of Man,IOM,EGNS
London Gatwick,LGW,EGKK,Izmir,ADB,LTBJ
London Gatwick,LGW,EGKK,Jersey,JER,EGJJ
London Gatwick,LGW,EGKK,Kalamata,KLX,LGKL
London Gatwick,LGW,EGKK,Kefalonia,EFL,LGKF
London Gatwick,LGW,EGKK,Kittila,KTT,EFKT
London Gatwick,LGW,EGKK,Kos,KGS,LGKO
London Gatwick,LGW,EGKK,Krakow,KRK,EPKK
London Gatwick,LGW,EGKK,La Rochelle,LRH,LFBH
London Gatwick,LGW,EGKK,Lanzarote,ACE,GCRR
London Gatwick,LGW,EGKK,Lisbon,LIS,LPPT
London Gatwick,LGW,EGKK,Ljubljana,LJU,LJLJ
London Gatwick,LGW,EGKK,Luxor,LXR,HELX
London Gatwick,LGW,EGKK,Lyon,LYS,LFLL
London Gatwick,LGW,EGKK,Madeira Funchal,FNC,LPMA
London Gatwick,LGW,EGKK,Madrid,MAD,LEMD
London Gatwick,LGW,EGKK,Majorca Palma,PMI,LEPA
London Gatwick,LGW,EGKK,Malaga,AGP,LEMG
London Gatwick,LGW,EGKK,Malta,MLA,LMML
London Gatwick,LGW,EGKK,Marrakech,RAK,GMMX
London Gatwick,LGW,EGKK,Marseille Provence,MRS,LFML
London Gatwick,LGW,EGKK,Menorca Mahon,MAH,LEMH
London Gatwick,LGW,EGKK,Milan Linate,LIN,LIML
London Gatwick,LGW,EGKK,Milan Malpensa,MXP,LIMC
London Gatwick,LGW,EGKK,Montpellier,MPL,LFMT
London Gatwick,LGW,EGKK,Munich,MUC,EDDM
London Gatwick,LGW,EGKK,Murcia Intl,RMU,LEMI
London Gatwick,LGW,EGKK,Mykonos,JMK,LGMK
London Gatwick,LGW,EGKK,Nantes,NTE,LFRS
London Gatwick,LGW,EGKK,Naples,NAP,LIRN
London Gatwick,LGW,EGKK,Newquay,NQY,EGHQ
London Gatwick,LGW,EGKK,Nice,NCE,LFMN
London Gatwick,LGW,EGKK,Nuremberg,NUE,EDDN
London Gatwick,LGW,EGKK,Paris Charles de Gaulle,CDG,LFPG
London Gatwick,LGW,EGKK,Pisa (Tuscany),PSA,LIRP
London Gatwick,LGW,EGKK,Porto,OPO,LPPR
London Gatwick,LGW,EGKK,Prague,PRG,LKPR
London Gatwick,LGW,EGKK,Preveza,PVK,LGPZ
London Gatwick,LGW,EGKK,Pula,PUY,LDPL
London Gatwick,LGW,EGKK,Rennes,RNS,LFRN
London Gatwick,LGW,EGKK,Reus,REU,LERS
London Gatwick,LGW,EGKK,Reykjavik Keflavik,KEF,BIKF
London Gatwick,LGW,EGKK,Rhodes,RHO,LGRP
London Gatwick,LGW,EGKK,Rimini,RMI,LIPR
London Gatwick,LGW,EGKK,Rome Fiumicino,FCO,LIRF
London Gatwick,LGW,EGKK,Rovaniemi,RVN,EFRO
London Gatwick,LGW,EGKK,Sal - Cape Verde,SID,GVAC
London Gatwick,LGW,EGKK,Salzburg,SZG,LOWS
London Gatwick,LGW,EGKK,Santorini,JTR,LGSR
London Gatwick,LGW,EGKK,Sardinia Olbia,OLB,LIEO
London Gatwick,LGW,EGKK,Scandinavian Mountains,SCR,ESKS
London Gatwick,LGW,EGKK,Seville,SVQ,LEZL
London Gatwick,LGW,EGKK,Sharm El Sheikh,SSH,HESH
London Gatwick,LGW,EGKK,Sicily Catania,CTA,LICC
London Gatwick,LGW,EGKK,Sicily Palermo,PMO,LICJ
London Gatwick,LGW,EGKK,Skiathos,JSI,LGSK
London Gatwick,LGW,EGKK,Sofia,SOF,LBSF
London Gatwick,LGW,EGKK,Split,SPU,LDSP
London Gatwick,LGW,EGKK,Strasbourg,SXB,LFST
London Gatwick,LGW,EGKK,Tenerife South,TFS,GCTS
London Gatwick,LGW,EGKK,Thessaloniki,SKG,LGTS
London Gatwick,LGW,EGKK,Tivat,TIV,LYTV
London Gatwick,LGW,EGKK,Toulouse,TLS,LFBO
London Gatwick,LGW,EGKK,Tromsø,TOS,ENTC
London Gatwick,LGW,EGKK,Turin,TRN,LIMF
London Gatwick,LGW,EGKK,Valencia,VLC,LEVC
London Gatwick,LGW,EGKK,Venice Marco Polo,VCE,LIPZ
London Gatwick,LGW,EGKK,Verona,VRN,LIPX
London Gatwick,LGW,EGKK,Vienna,VIE,LOWW
London Gatwick,LGW,EGKK,Zadar,ZAD,LDZD
London Gatwick,LGW,EGKK,Zante Zakynthos,ZTH,LGZA
London Gatwick,LGW,EGKK,Zurich,ZRH,LSZH
London Luton,LTN,EGGW,Aberdeen,ABZ,EGPD
London Luton,LTN,EGGW,Agadir,AGA,GMAD
London Luton,LTN,EGGW,Alicante,ALC,LEAL
London Luton,LTN,EGGW,Almeria,LEI,LEAM
London Luton,LTN,EGGW,Amsterdam,AMS,EHAM
London Luton,LTN,EGGW,Antalya,AYT,LTAI
London Luton,LTN,EGGW,Barcelona,BCN,LEBL
London Luton,LTN,EGGW,Basel,BSL,LFSB
London Luton,LTN,EGGW,Belfast City (George Best),BHD,EGAC
London Luton,LTN,EGGW,Belfast Intl,BFS,EGAA
London Luton,LTN,EGGW,Berlin Brandenburg,BER,EDDB
London Luton,LTN,EGGW,Bodrum,BJV,LTFE
London Luton,LTN,EGGW,Bordeaux,BOD,LFBD
London Luton,LTN,EGGW,Cairo Sphinx,SPX,HESX
London Luton,LTN,EGGW,Corfu,CFU,LGKR
London Luton,LTN,EGGW,Crete Chania,CHQ,LGSA
London Luton,LTN,EGGW,Crete Heraklion,HER,LGIR
London Luton,LTN,EGGW,Cyprus Larnaca,LCA,LCLK
London Luton,LTN,EGGW,Cyprus Paphos,PFO,LCPH
London Luton,LTN,EGGW,Dalaman,DLM,LTBS
London Luton,LTN,EGGW,Djerba–Zarzis,DJE,DTTJ
London Luton,LTN,EGGW,Edinburgh,EDI,EGPH
London Luton,LTN,EGGW,Enfidha - Hammamet,NBE,DTNH
London Luton,LTN,EGGW,Faro,FAO,LPFR
London Luton,LTN,EGGW,Fuerteventura,FUE,GCFV
London Luton,LTN,EGGW,Geneva,GVA,LSGG
London Luton,LTN,EGGW,Glasgow,GLA,EGPF
London Luton,LTN,EGGW,Gran Canaria,LPA,GCLP
London Luton,LTN,EGGW,Grenoble,GNB,LFLS
London Luton,LTN,EGGW,Hurghada,HRG,HEGN
London Luton,LTN,EGGW,Ibiza,IBZ,LEIB
London Luton,LTN,EGGW,Innsbruck,INN,LOWI
London Luton,LTN,EGGW,Inverness,INV,EGPE
London Luton,LTN,EGGW,Isle of Man,IOM,EGNS
London Luton,LTN,EGGW,Izmir,ADB,LTBJ
London Luton,LTN,EGGW,Jersey,JER,EGJJ
London Luton,LTN,EGGW,Kittila,KTT,EFKT
London Luton,LTN,EGGW,Lanzarote,ACE,GCRR
London Luton,LTN,EGGW,Lisbon,LIS,LPPT
London Luton,LTN,EGGW,Ljubljana,LJU,LJLJ
London Luton,LTN,EGGW,Lyon,LYS,LFLL
London Luton,LTN,EGGW,Madeira Funchal,FNC,LPMA
London Luton,LTN,EGGW,Madrid,MAD,LEMD
London Luton,LTN,EGGW,Majorca Palma,PMI,LEPA
London Luton,LTN,EGGW,Malaga,AGP,LEMG
London Luton,LTN,EGGW,Marrakech,RAK,GMMX
London Luton,LTN,EGGW,Menorca Mahon,MAH,LEMH
London Luton,LTN,EGGW,Milan Malpensa,MXP,LIMC
London Luton,LTN,EGGW,Munich,MUC,EDDM
London Luton,LTN,EGGW,Murcia Intl,RMU,LEMI
London Luton,LTN,EGGW,Naples,NAP,LIRN
London Luton,LTN,EGGW,Nice,NCE,LFMN
London Luton,LTN,EGGW,Nuremberg,NUE,EDDN
London Luton,LTN,EGGW,Paris Charles de Gaulle,CDG,LFPG
London Luton,LTN,EGGW,Pisa (Tuscany),PSA,LIRP
London Luton,LTN,EGGW,Porto,OPO,LPPR
London Luton,LTN,EGGW,Prague,PRG,LKPR
London Luton,LTN,EGGW,Pula,PUY,LDPL
London Luton,LTN,EGGW,Rabat Sale Airport,RBA,GMME
London Luton,LTN,EGGW,Reus,REU,LERS
London Luton,LTN,EGGW,Reykjavik Keflavik,KEF,BIKF
London Luton,LTN,EGGW,Rhodes,RHO,LGRP
London Luton,LTN,EGGW,Rovaniemi,RVN,EFRO
London Luton,LTN,EGGW,Salzburg,SZG,LOWS
London Luton,LTN,EGGW,Sardinia Olbia,OLB,LIEO
London Luton,LTN,EGGW,Sharm El Sheikh,SSH,HESH
London Luton,LTN,EGGW,Sicily Catania,CTA,LICC
London Luton,LTN,EGGW,Sicily Palermo,PMO,LICJ
London Luton,LTN,EGGW,Split,SPU,LDSP
London Luton,LTN,EGGW,Strasbourg,SXB,LFST
London Luton,LTN,EGGW,Tbilisi,TBS,UGTB
London Luton,LTN,EGGW,Tenerife South,TFS,GCTS
London Luton,LTN,EGGW,Tivat,TIV,LYTV
London Luton,LTN,EGGW,Turin,TRN,LIMF
London Luton,LTN,EGGW,Zante Zakynthos,ZTH,LGZA
London Luton,LTN,EGGW,Zurich,ZRH,LSZH
London Southend,SEN,EGMC,Alicante,ALC,LEAL
London Southend,SEN,EGMC,Almeria,LEI,LEAM
London Southend,SEN,EGMC,Amsterdam,AMS,EHAM
London Southend,SEN,EGMC,Antalya,AYT,LTAI
London Southend,SEN,EGMC,Barcelona,BCN,LEBL
London Southend,SEN,EGMC,Belfast City (George Best),BHD,EGAC
London Southend,SEN,EGMC,Berlin Brandenburg,BER,EDDB
London Southend,SEN,EGMC,Budapest,BUD,LHBP
London Southend,SEN,EGMC,Dalaman,DLM,LTBS
London Southend,SEN,EGMC,Edinburgh,EDI,EGPH
London Southend,SEN,EGMC,Enfidha - Hammamet,NBE,DTNH
London Southend,SEN,EGMC,Faro,FAO,LPFR
London Southend,SEN,EGMC,Geneva,GVA,LSGG
London Southend,SEN,EGMC,Gran Canaria,LPA,GCLP
London Southend,SEN,EGMC,Ibiza,IBZ,LEIB
London Southend,SEN,EGMC,Jersey,JER,EGJJ
London Southend,SEN,EGMC,Lanzarote,ACE,GCRR
London Southend,SEN,EGMC,Lyon,LYS,LFLL
London Southend,SEN,EGMC,Majorca Palma,PMI,LEPA
London Southend,SEN,EGMC,Malaga,AGP,LEMG
London Southend,SEN,EGMC,Malta,MLA,LMML
London Southend,SEN,EGMC,Marrakech,RAK,GMMX
London Southend,SEN,EGMC,Munich,MUC,EDDM
London Southend,SEN,EGMC,Paris Charles de Gaulle,CDG,LFPG
London Southend,SEN,EGMC,Pisa (Tuscany),PSA,LIRP
London Southend,SEN,EGMC,Rovaniemi,RVN,EFRO
London Southend,SEN,EGMC,Salzburg,SZG,LOWS
London Southend,SEN,EGMC,Sharm El Sheikh,SSH,HESH
London Southend,SEN,EGMC,Tenerife South,TFS,GCTS
London Stansted,STN,EGSS,Amsterdam,AMS,EHAM
London Stansted,STN,EGSS,Belfast Intl,BFS,EGAA
London Stansted,STN,EGSS,Edinburgh,EDI,EGPH
London Stansted,STN,EGSS,Geneva,GVA,LSGG
London Stansted,STN,EGSS,Glasgow,GLA,EGPF
London Stansted,STN,EGSS,Paris Charles de Gaulle,CDG,LFPG
London Stansted,STN,EGSS,Zurich,ZRH,LSZH
Manchester,MAN,EGCC,Agadir,AGA,GMAD
Manchester,MAN,EGCC,Akureyri,AEY,BIAR
Manchester,MAN,EGCC,Alicante,ALC,LEAL
Manchester,MAN,EGCC,Amsterdam,AMS,EHAM
Manchester,MAN,EGCC,Antalya,AYT,LTAI
Manchester,MAN,EGCC,Athens,ATH,LGAV
Manchester,MAN,EGCC,Barcelona,BCN,LEBL
Manchester,MAN,EGCC,Bari,BRI,LIBD
Manchester,MAN,EGCC,Basel,BSL,LFSB
Manchester,MAN,EGCC,Belfast City (George Best),BHD,EGAC
Manchester,MAN,EGCC,Belfast Intl,BFS,EGAA
Manchester,MAN,EGCC,Berlin Brandenburg,BER,EDDB
Manchester,MAN,EGCC,Bilbao,BIO,LEBB
Manchester,MAN,EGCC,Bodrum,BJV,LTFE
Manchester,MAN,EGCC,Bordeaux,BOD,LFBD
Manchester,MAN,EGCC,Burgas,BOJ,LBBG
Manchester,MAN,EGCC,Cairo Sphinx,SPX,HESX
Manchester,MAN,EGCC,Copenhagen,CPH,EKCH
Manchester,MAN,EGCC,Corfu,CFU,LGKR
Manchester,MAN,EGCC,Crete Chania,CHQ,LGSA
Manchester,MAN,EGCC,Crete Heraklion,HER,LGIR
Manchester,MAN,EGCC,Cyprus Larnaca,LCA,LCLK
Manchester,MAN,EGCC,Cyprus Paphos,PFO,LCPH
Manchester,MAN,EGCC,Dalaman,DLM,LTBS
Manchester,MAN,EGCC,Djerba–Zarzis,DJE,DTTJ
Manchester,MAN,EGCC,Dubrovnik,DBV,LDDU
Manchester,MAN,EGCC,Enfidha - Hammamet,NBE,DTNH
Manchester,MAN,EGCC,Faro,FAO,LPFR
Manchester,MAN,EGCC,Fuerteventura,FUE,GCFV
Manchester,MAN,EGCC,Geneva,GVA,LSGG
Manchester,MAN,EGCC,Gibraltar,GIB,LXGB
Manchester,MAN,EGCC,Gran Canaria,LPA,GCLP
Manchester,MAN,EGCC,Grenoble,GNB,LFLS
Manchester,MAN,EGCC,Hamburg,HAM,EDDH
Manchester,MAN,EGCC,Hurghada,HRG,HEGN
Manchester,MAN,EGCC,Ibiza,IBZ,LEIB
Manchester,MAN,EGCC,Innsbruck,INN,LOWI
Manchester,MAN,EGCC,Isle of Man,IOM,EGNS
Manchester,MAN,EGCC,Jersey,JER,EGJJ
Manchester,MAN,EGCC,Kalamata,KLX,LGKL
Manchester,MAN,EGCC,Kefalonia,EFL,LGKF
Manchester,MAN,EGCC,Kittila,KTT,EFKT
Manchester,MAN,EGCC,Kos,KGS,LGKO
Manchester,MAN,EGCC,Krakow,KRK,EPKK
Manchester,MAN,EGCC,La Rochelle,LRH,LFBH
Manchester,MAN,EGCC,Lanzarote,ACE,GCRR
Manchester,MAN,EGCC,Lisbon,LIS,LPPT
Manchester,MAN,EGCC,Ljubljana,LJU,LJLJ
Manchester,MAN,EGCC,Lyon,LYS,LFLL
Manchester,MAN,EGCC,Madeira Funchal,FNC,LPMA
Manchester,MAN,EGCC,Madrid,MAD,LEMD
Manchester,MAN,EGCC,Majorca Palma,PMI,LEPA
Manchester,MAN,EGCC,Malaga,AGP,LEMG
Manchester,MAN,EGCC,Malta,MLA,LMML
Manchester,MAN,EGCC,Marrakech,RAK,GMMX
Manchester,MAN,EGCC,Menorca Mahon,MAH,LEMH
Manchester,MAN,EGCC,Milan Linate,LIN,LIML
Manchester,MAN,EGCC,Milan Malpensa,MXP,LIMC
Manchester,MAN,EGCC,Montpellier,MPL,LFMT
Manchester,MAN,EGCC,Munich,MUC,EDDM
Manchester,MAN,EGCC,Murcia Intl,RMU,LEMI
Manchester,MAN,EGCC,Mykonos,JMK,LGMK
Manchester,MAN,EGCC,Naples,NAP,LIRN
Manchester,MAN,EGCC,Newquay,NQY,EGHQ
Manchester,MAN,EGCC,Nice,NCE,LFMN
Manchester,MAN,EGCC,Nuremberg,NUE,EDDN
Manchester,MAN,EGCC,Oslo,OSL,ENGM
Manchester,MAN,EGCC,Paris Charles de Gaulle,CDG,LFPG
Manchester,MAN,EGCC,Pisa (Tuscany),PSA,LIRP
Manchester,MAN,EGCC,Porto,OPO,LPPR
Manchester,MAN,EGCC,Prague,PRG,LKPR
Manchester,MAN,EGCC,Preveza,PVK,LGPZ
Manchester,MAN,EGCC,Rennes,RNS,LFRN
Manchester,MAN,EGCC,Reus,REU,LERS
Manchester,MAN,EGCC,Reykjavik Keflavik,KEF,BIKF
Manchester,MAN,EGCC,Rhodes,RHO,LGRP
Manchester,MAN,EGCC,Rome Fiumicino,FCO,LIRF
Manchester,MAN,EGCC,Rovaniemi,RVN,EFRO
Manchester,MAN,EGCC,Sal - Cape Verde,SID,GVAC
Manchester,MAN,EGCC,Santorini,JTR,LGSR
Manchester,MAN,EGCC,Scandinavian Mountains,SCR,ESKS
Manchester,MAN,EGCC,Sharm El Sheikh,SSH,HESH
Manchester,MAN,EGCC,Sicily Catania,CTA,LICC
Manchester,MAN,EGCC,Skiathos,JSI,LGSK
Manchester,MAN,EGCC,Sofia,SOF,LBSF
Manchester,MAN,EGCC,Split,SPU,LDSP
Manchester,MAN,EGCC,Strasbourg,SXB,LFST
Manchester,MAN,EGCC,Tenerife South,TFS,GCTS
Manchester,MAN,EGCC,Thessaloniki,SKG,LGTS
Manchester,MAN,EGCC,Tivat,TIV,LYTV
Manchester,MAN,EGCC,Tromsø,TOS,ENTC
Manchester,MAN,EGCC,Turin,TRN,LIMF
Manchester,MAN,EGCC,Venice Marco Polo,VCE,LIPZ
Manchester,MAN,EGCC,Verona,VRN,LIPX
Manchester,MAN,EGCC,Vienna,VIE,LOWW
Manchester,MAN,EGCC,Zante Zakynthos,ZTH,LGZA
Manchester,MAN,EGCC,Zurich,ZRH,LSZH
Newcastle,NCL,EGNT,Alicante,ALC,LEAL
Newcastle,NCL,EGNT,Amsterdam,AMS,EHAM
Newcastle,NCL,EGNT,Antalya,AYT,LTAI
Newcastle,NCL,EGNT,Barcelona,BCN,LEBL
Newcastle,NCL,EGNT,Belfast Intl,BFS,EGAA
Newcastle,NCL,EGNT,Berlin Brandenburg,BER,EDDB
Newcastle,NCL,EGNT,Bristol,BRS,EGGD
Newcastle,NCL,EGNT,Copenhagen,CPH,EKCH
Newcastle,NCL,EGNT,Corfu,CFU,LGKR
